ID,PID,CONTEXT,TYPE,FILL_OF,EXMETHOD,DESCRIP,COMPSN,NOTES
3486,C3486,4755,S,0,Trowel,Second phase of tiles in hearth 4234,Tile spread measuring 0.07m thick but extent unknown,Second phase of tiles in hearth 4234. Strat below (4756) and (4757). Strat above (4766). Partially removed within a slot in 2003 and excavated as (7062) in 2006.<br /> Not planned in 2003 <br />Section no: 492 <br />Accuracy rating - 5
3487,C3487,4756,D,0,Trowel,Silt packing within hearth 4234,"Compact, mid greenish brown silt No inclusions Thickness: 0.06m;  Extent unknown Clear edge definition","Brown-green silt in between the second tile phase of hearth 4234, possibly as a packing material for the tiles. Strat below (4754). Strat above (4755). Contemporary with (4751). Partially removed within a slot in 2003. Not planned in 2003 Section no: 492 Accuracy rating - 4"
3488,C3488,4757,D,0,Trowel,Packing material within hearth 4234,"Soft, mid greenish yellow silty clay No inclusions Thickness: 0.06m;  Extent unknown Clear edge definition","Green clay in between the second phase tiles of hearth 4234, possibly as packing material. Strat below (4754). Strat above (4755). Contemporary with (4756). Partially removed within a slot in 2003.  Not planned in 2003 Section no: 492 Accuracy rating - 5"
3489,C3489,4758,D,0,Trowel,Tile spread,"Tile spread with a thickness of 0.02-0.06m In between the tiles is a friable, grey clayey silt","Tile spread, probably representing a demolition deposit spanning both sides of the wall of the structure. 4758 comprises a combination of roof tile and other CBM. Strat below (4188). Completely removed in 2003. Plan no: 28.121, 28.122, 29.109 Accuracy rating - 4"
3490,C3490,4766,D,0,Trowel,Layer within hearth 4234,"Friable, dark greyish brown silt Inclusions: 15-35% stones (S-R) (2-6mm) (2-6cm); 20% chalk Thickness: 0.06m;  Extent unknown Clear edge definition",Gritty silt in between the first and second tile layer of hearth 4234. Possibly an accumulation of hearth material or levelling phase. Strat below (4755) and (4237). Strat above (4768). Partially removed within a slot in 2003. Excavated as part of (7114) in 2006.<br />Not planned in 2003 <br />Section no: 492 <br />Sample no: 955 <br />Accuracy rating - 5
3491,C3491,4767,D,0,Trowel,First tile phase / foundation of hearth 4234,Tile spread measuring 0.05m thick&nbsp;<em />,First tile phase / foundation of hearth 4234. Strat below (4768). Strat above (4249). Partially removed within a slot in 2003 and excavated as 7125 in 2006.<br />Not planned in 2003  <br />Section no: 492  <br />Accuracy rating - 5&nbsp;<em></em>
3492,C3492,4768,D,0,Trowel,Clay within hearth 4234,"Soft, mid-orange/yellow clay No inclusions Thickness: 0.06m;  Extent unknown Sharp edge definition",Yellow clay in between the tiles of the first phase within hearth 4234. Possibly a packing for the tiles. Strat below (4766). Strat above (4767). Partially removed within a slot in 2003 and excavated as (7114) in 2006. <br />Not planned in 2003 <br />Section no: 492 <br />Accuracy rating - 5
3493,C3493,4769,D,0,Trowel,Use deposit,"Firm, dark orangey red clay Inclusions: <1% stones (S-A) (2-6mm); 10% charcoal Extent: 0.13m x 0.09m;  Thickness: 0.01m Sharp edge definition",Patch of red clay possibly created by the oxidisation of orange clay layer (4152) by a hearth although no structural evidence of a hearth is present. Strat below (4152). Strat above burn layer (4770). Completely removed in 2003. Plan no: 21.124 Sample no: 712 Accuracy rating - 3
3494,C3494,4770,D,0,Trowel,Burnt layer,"Soft, dark greyish black clayey sand Inclusions: <1% stones (S-A) (2-6mm); 20% charcoal Extent: 0.2m x 0.15m;  Thickness: 0.03m Sharp edge definition","Burn layer surrounding red clay (4769) suggesting the presence of a hearth, although there is no structural evidence to corroborate this. May have been a small hearth or a temporary/accidental burn. Strat below (4769). Completely removed in 2003. Plan no: 21.125 Sample no: 713 Accuracy rating - 3"
3495,C3495,4771,D,4780,Trowel,Fill of beam slot [4780],"Soft, dark brown silt Inclusions: <1% stones (A) (2-6cm); Occasional charcoal Extent: 1.52m x 0.17m;  Thickness: 0.1m Diffuse edge definition",Fill of beam slot [4780]. Strat below (3532). Completely removed in 2003. Plan no: 21.127 Accuracy rating - 4
3497,C3497,4774,D,4790,Trowel,Packing of post hole [4790],Loose and sticky brown grit Inclusions: 20% flint (S-A); 15% CBM; 5% pottery Large pieces of flint and CBM at the top Relatively clear edge definition,"Packing of post hole [4790] containing flint, CBM and other materials. Strat below (3819). Strat above (4790). Completely removed in 2003. Plan no: 29.112 Section no: 520 Accuracy rating - 4"
3498,C3498,4778,D,0,Trowel,Floor of hearth 4794,"2 large broken tiles and firm, fine-grained browny grey silt","Floor of hearth 4794 consisting of two large broken tiles. Originally uncovered by Victorian trenches (and was incorrectly identified by the Victorians as a hypocaust) and is at the junction of trenches [1033], [1032], [1287] and [1037]. 4778 is surrounded on the SW and NW sides by yellow clay (4152). Strat above (4789). Completely removed in 2003. Plan no: 21.131 Accuracy rating - 4"
3499,C3499,4780,C,0,Trowel,Beam slot cut containing (4771),Linear in plan measuring 1.52m x 0.17m with a depth of 0.1m Break of slope (top): sharp;  (base): moderately sharp Straight sides with an irregular base Contains (4771),Beam slot cut running parallel to the outside of a wall (wall context number not specified on the paperwork). In alignment with beam slots [4785] to the NW and [4783] to the SE. Truncated by Victorian trenches. Plan no: 21.129 Accuracy rating - 4
3500,C3500,4781,D,0,Trowel,Clay,"Loose, pale greeny yellow silty clay No inclusions",Clay deposit overlying the tile/gravel demolition phase of the large square building and butting the external gravel surface on the line of the underlying wall. Possibly the same as (4170). This is the floor surface associated with the last layer of the hearth. Strat below (4188). Strat above (4758). Completely removed in 2003. Plan no: 28.125
3501,C3501,4783,C,0,Trowel,Beam slot cut containing (4198),Linear in plan measuring 0.42m x 0.14m with a depth of 0.03-0.05m Break of slope (top): moderately sharp;  (base): moderately sharp-rounded Straight sides (N. side: 85 degrees; S. side: 65 degrees) Flat base Contains (4198),"Beam slot cut running parallel, and directly adjacent to the outside of a wall (context number of the wall not specified on paperwork). In alignment with and probably associated with beam slot [4780] to the NW. Also in alignment with [4785] further to the NW.  Plan no: 28.126 Accuracy rating - 4"
3502,C3502,4785,C,0,Trowel,Beam slot cut containing (5762),Linear in plan measuring 1.12m x 0.2m<BR>Break of slope (top &amp; base): sharp - moderately sharp<BR>Straight - concave sides with an irregular base<BR>Contains (5762)  {},Beam slot cut running parallel to wall (context number of the wall not specified on paperwork). In alignment with and probably associated with beam slots [4783] and [4780] Plan no: 20.111 Accuracy rating - 4
3503,C3503,4789,D,0,Trowel,Burnt clay beneath hearth floor,"Plastic, red/brown clay No inclusions Extent: 0.5m x 0.5m;  Thickness: 0.01-0.03m Clear edge definition",Red-brown burnt clay beneath hearth floor (4778). Strat above (4152). Completely removed in 2003. Plan no: 21.133 Accuracy rating - 4
3505,C3505,4790,C,0,Trowel,Post hole cut containing (4774),Square in plan with rounded corners measuring 0.75m x 0.73m with a depth of 0.52m Break of slope (top & base): sharp Vertical sides with a flat base Contains (4774),"Steep sided, shallow bottomed post hole cut.  Plan no: 29.124 Section no: 520 Accuracy rating - 4"
3509,C3509,4806,D,0,Trowel,Silt spread,"Compact, mid browny grey clayey silt Inclusions: 5-15% stones (S-A) (S-R) (2-6cm);  <1% charcoal Extent: 2m x 1.5m;  Thickness: 0.02-0.03m Irregular edge definition",Silt spread overlying a layer of stones and gravel. Possible occupation layer. Strat below (4153). Cut by [3741]. Completely removed in 2003. Plan no: 29.126 Accuracy rating - 4
3510,C3510,4809,D,0,Trowel,Gravel spread,"Hard, light brownish grey silty sand Inclusions: 95% stones (S-A) (S-R) (2-6cm) (6-20cm)  Extent: 2.4m x 3m;  Thickness: 0.04m Clear edge definition","Small gravel spread cut by slot 1. Overlies yellow gravel and silt. Strat above (4758). Completely removed in 2003. Plan no: 28.128, 29.127, 29.128 Accuracy rating - 4"
3512,C3512,4610,D,0,Trowel,Levelling deposit,"Hard, dark brown silty gravel with browny yellow patches Inclusions: 75% gravel of all shapes and ranging in size from 2mm to 6cm Extent: 0.8m x 0.3m;  Thickness: 0.01-0.1m Clear edge definition",Small patch of gravel to the NW of beam slot (4568). Possibly a deposit associated with the occupation of the timber structure prior to the stone phase of the NE House. Strat below (4611). Cut by [3920]. Completely removed in 2003. Plan no: 21.143 Accuracy rating - 3
3513,C3513,4611,D,0,Trowel,Burnt accumulation deposit,"Loose, dark blacky brown sandy clayey silt Inclusions: 15-35% stones (S-A) (S-R) (2-6mm) (6-20mm); 20% charcoal Extent: 0.7m x 0.3m;  Thickness: 0.01-0.03m Clear edge definition","Small patch of burning to the NW side of beam slot (4568). Possible deposit associated with the occupation of the timber structure previous to the stone phase of the NE House. Strat below (4584). Strat above (4610). Cut by [3920]. Completely removed in 2003. Plan no: 16.152, 21.144 Sample no: 729 Accuracy rating - 3"
3515,C3515,4818,D,4820,Trowel,Fill of post pipe within [4820],"Soft, dark brownish grey clayey silt Inclusions: 35-70% stones (S-A) (20-60cm) - poorly sorted Extent: 0.96m x 0.8m; Thickness: 0.45m Clear edge definition","Fill of post pipe within large post hole [4820] along the N-S road in line with other post holes. Strat below (4170). Strat above flint packing (4819). Partially removed (half-sectioned) in 2003 and the remainder of the post pipe and flint packing was completely removed in 2005. N.B. This context has 3 context cards. I assume that one is pre-ex and the second one is after some fill was partially removed and the third one is just an error. There are also 2 sets of plans (see beneath) Plan no: 28.129, 33.74 (pre-ex); 33.75   Section no: 562 Accuracy rating - 5"
3516,C3516,4821,D,4823,Trowel,Fill of post hole [4823],"Friable, dark greyish brown clayey silt Inclusions: >70% poorly sorted stones (S-A) (S-R) (6-20mm) (2-6cm) Extent: 0.5m x 0.57m;  Thickness: 0.25m Clear edge definition",Fill of large post hole [4823] by the N-S road. In alignment with other post holes [4798] and [4842]. Completely removed in 2003. Plan no: 28.131 Section no: 538 Spot Date: 125-150AD
3517,C3517,4823,C,0,Trowel,Post hole cut containing (4821),"Circular in plan measuring 0.5m x 0.57m with a depth of 0.25m Break of slope (top & base): sharp Vertical sides with a flat, slightly irregular base and U-shaped profile Contains (4821)",Post hole cut running parallel to the N-S road and in alignment with other post holes [4798] and [4842]. Plan no: 28.135 Section no: 538 Accuracy rating - 4
3522,C3522,4454,D,0,Trowel,Levelling deposit,"Soft, mid brown / yellow clayey silt<BR>Inclusions: 15-35% gravel (S-A) (2-6mm);   Occasional small fragments of CBM<BR>Extent: 5.49m x 2.3m;    Thickness: 0.25m<BR>Clear edge definition <BR>","Thick yellow clay levelling deposit south of House 1, covering a substantial part of the area. Partially removed in 2003 to reveal underlying contemporary flint and CBM spread (4459) which lay under the western extent of the spread. (4459) was assumed to be roughly contemporary being either consolidation for the levelling layer or a demolition spread. Clay (4454) masked/sealed the post pad stones that appear to relate to the stone phase of House 1. At the edges of the deposit it becomes quite diffuse, tailing off into a thin band over the underlying gravels and silts. However, the northern and western edges of the deposit appear quite linear/delineated. The northern part of the deposit also contained a fairly high percentage of CBM. Strat below (5087), (5072), (5230), (6177). Strat above (4459). Cut by (4460). Completely removed in 2005. <br />Plan no: 11.237, 12.126, 12.127, 12.128, 12.129, 12.143, 13.158, 13.159, 14.136"
3523,C3523,4459,D,0,Trowel,Demolition deposit,"Hard, mid-yellow/grey silty clay <BR>Inclusions: 5-15% stones (A); 15-35% stones (S-R); 60% flint nodules; 20% CBM <BR>Thickness: 0.15-0.2m <BR>Fair edge definition","Flint nodules and CBM - possibly demolition rubble within clay (4454) or part of the levelling process that clay (4454) represents. The excavation of this context was begun in 2003 thinking that the flints may be a post hole. Much of a small glass vessel and some brown-coated fine ware was retrieved from between the flints and tiles. In 2005, (4459) was considered to be a contemporary spread to overlying clay (4454). Partially excavated in 2003/4. Completely removed in 2005.  <BR>Plan no: 12.97 <BR>Accuracy rating - 5 <BR>Spot Date: 1st century AD"
3529,C3529,4504,D,4510,Trowel,Backfill of beam slot [4510],"Soft, mid brown-grey clayey sand Inclusions: 5-15% stones (S-A) (6-20mm); grit Extent: 3m x 0.24m;  Thickness: 0.1-0.12m Thickness varies with the slope","Backfill of beam slot [4510]. Dark colouration of the material could be decomposition of the beam in-situ. 8 nails were situated at the base of the deposit, confirming the presence of a beam slot and its subsequent decomposition. (4504) is completely different to (6569) which appears to be mixed backfill of the same beam slot further towards the south west where the beam has been taken out and then backfilled. Strat below (4495), (6569). Completely removed in 2003. Plan no: 11.146, 14.99 (2003 plans);  11.229, 14.135 (2005 plans) Section no: 552, 553, 700, 702 Accuracy rating - 4"
3531,C3531,4510,C,0,Trowel,Beam slot cut containing (4504) and (6569),"Linear in plan measuring 7m x 0.1-0.24m with a depth of 0.1m  Break of slope (top & base): sharp  U-shaped profile with vertical (15 degrees) sides-ßand a flat base  Orientation: NE-SW Contains (4504), (6569)","Beam slot cut containing (4504) as fill and (6569) as a later backfill to the south west. On the same orientation as the house walls and another beam slot 2.6m away to the north. During the 2005 season, [4510] was re-examined and it was found to extend further towards the south west where it was fully excavated up to the point where it is truncated by [1170]. The south west, part of it contained (6569) which is backfill, therefore indicating that this part of the beam was removed as opposed to (4504) which represents the decomposition of the beam in-situ. Strat below (4504). Cuts (6585).  Plan no: 11.158, 14.101 Section no: 552, 553, 700, 702  Accuracy rating - 4"
3534,C3534,4637,D,5428,Trowel,Fill of beam slot [5428],"Soft, fine-grained light olive brown clayey sand <BR>Inclusions: 5-15% stones of all shapes (2-6mm) (6-20mm); Occasional charcoal and CBM <BR>Extent: 4.43m x 0.18-0.25m; Thickness: 0.07-0.13m <BR>Clear edge definition  {}","Fill&nbsp;(clay slumped in) of beam slot [5428] south of room 1, NE House. Part of the timber structure predating the stone house at the NE end of House 1. Strat below (4594).&nbsp;Strat above [5428].&nbsp;Partially removed in 2003 and completely removed in 2004.<BR>Plan no: 21.150, 22.90 <BR>Section no: 560, 561 <BR>Accuracy rating - 3  {}"
3544,C3544,4772,D,0,Trowel,Accumulation deposit,Soft/loose dark brown clayey silt gravel<BR>Inclusions: 35-70% stones (S-A) (6-20mm) <BR>Extent: 5.4m x 5.5m; Thickness: 0.04m <BR>Semi-clear edge definition  {},"Dark, silty gravel layer that abutts clay floor (4170). Possibly an accumulation layer associated with the same phase of the floor. Strat below gravel spread (4186). Truncated by Victorian trench [1221]. Partially removed in 2003. <BR>Plan no: 20.107  {}"
3550,C3550,4128,D,0,Trowel,Clay layer,"Compact, yellow-grey silty clay Inclusions: 5-15% stones (S-A) (6-20mm) (2-6cm)  Extent: 1.63m (N-S) x 2.06m (E-W)","Layer of clay and mortar of variable depth. Strat below (4386). Strat above (4398) and (4394). Completely removed in 2003. Plan no: 11.142, 11.143 Accuracy rating - 5"
3551,C3551,4150,D,0,Trowel,Gravel slump,">70% gravel (S-A) (S-R) (6-20mm) (2-6cm)  Matrix: Friable, mid-grey brown sandy silt  Thickness: 0.05m at the base Slumps into the north side and west corner of (4152=4154) and extends beyond this into area 20B Good edge definition","Gravel slump overlying and slumped into house floor (4152=4154). It also slumps to the west into another early feature near the cut of a late well. Some of the feature still remains at the bottom of the slump on the west side. Strat below (4174). Strat above (4151). Partially removed in 2003. Plan no: 17.100, 20.86 Accuracy rating - 3"
3552,C3552,4151,D,0,Trowel,Occupation layer,"Compacted-concreted, mid-grey silty clay Inclusions: 1-5% stones (S-R) (2-6mm);  1-5% CBM; <1% bone; 1-5% pottery; <1% glass; <1% nails Extent: 0.25m on sides; 0.05m on base Clear edge definition",Occupation layer over clay floor/working area (4152=4154) which has slumped into earlier feature [4158] (a cut found in slot 13 but not exposed in plan in 2003). Strat below (4150). Same as (4158). Plan no: 20.89 Accuracy rating - 4
3554,C3554,4170,D,0,Trowel,Clay floor,"Compact, mid-greyish green clay<BR>Inclusions: 5-15% stones (S-A) (R) (6-20mm) (2-6cm); 1-5% CBM (6-60mm) - more frequent in the northern extent<BR>Extent: 9m (E-W) x 10m (N-S)<BR>Colour and inclusions variable across the extent of the floor<BR>Clear edge definition  {}","Large clay floor associated with large hearth. Original plan was to remove all the green clay as one, despite multiple layers being visible in the hearth section. Revised plan as of 17/08/03 was to take it down to the silt, gravel and tile demolition layer which seems to form a boundary between the upper and lower clays. N.B: floor seems to overlie and thus post date walls of similar alignment. Strat below (4799). Same as (4836) and (4222). Partially removed in 2003. Plan no: 20.117, 20.166, 21.148, 28.139, 28.140, 29.143, 29.144, 29.145, 29.146"
3555,C3555,4174,D,0,Trowel,Accumulation layer,"Firm, mid-grey-brown silt  Inclusions: 5-15% stones (S-R) (2-6mm); 15% grit (2-6mm)  Extent: 3m x 1m; Thickness: 0.02m  Clear edge definition <I>[ 01/01/2004]</I>","Accumulation of possible road wash material overlying gravel slump (4150), but physically similar and physically over (4172). There is missing stratigraphy due to slumping and it is slightly dubious as to where (4174) and (4172) meet, thus as to what level gully [4221] is cut from. Strat below (4220) and (4223). Partially removed in 2003 - to be completed in 2004.  Plan no: 20.92  Accuracy rating - 4 <I>[ 01/01/2004]</I>"
3556,C3556,4208,C,0,Trowel,Beam slot cut containing (4808),"Rectangular in plan with sharp corners, measuring 2.8m x 0.3m with a depth of 0.3m Break of slope (top & base): sharp - 90 degrees Straight sides with a flat, slightly concave base",Beam slot cut containing (4808). Truncated by a Victorian trench at either end. Contemporary with and same as [4568]. Plan no: 21.145 Accuracy rating - 4
3560,C3560,4355,C,0,Trowel,Construction cut containing wall 2004,"Linear in plan, measuring 5.14m x 0.46m (top)/0.33m (base) with a depth of 0.28m Break of slope (top & base): sharp Steep sides with a flat base and a U-shaped profile Contains 2004","Construction cut containing partition wall 2004 (and therefore more narrow than cuts for exterior load-bearing walls). Wall 2004 completely fills [4355]. Cuts circular gravel deposit (3398). [4355] was cut at the same time as all of the other cuts associated with the construction of the SW House.  Plan no: 2.62, 3.78, 10.95, 11.131 Section no: 500 Accuracy rating - 5"
3561,C3561,4356,C,0,Trowel,Construction cut containing wall 1746=1160,"Linear in plan, measuring 3.97m x 0.55m with a depth of 0.58m Break of slope (top & base): sharp Straight sides with a flat base Contains 1746","Construction cut containing exterior wall 1746 as seen in section 496. [4356] is only visible on the southern exterior wall due to the continuation of wall 1162 to the NW. Same as construction cut [4360] assigned to wall 1160 and as 1160=1746, the construction cuts are equalled too. Same construction phase as all cuts for the SW House. Plan no: see plan 11.147, 11.150, 12.105 for [4360] Section no: 496 Accuracy rating - 5"
3562,C3562,4359,C,0,Trowel,Construction cut containing wall 4099,"Linear in plan, measuring 1.26m x 0.52m with a depth of 0.32m Break of slope (top & base): sharp Straight sides with a flat base and a U-shaped profile Truncated by Ogham pit [1170] and robber cut [3708] Contains 4099",Construction cut containing partition wall 4099. Adjoins construction cut/ exterior wall [4124]/2022. Contemporary with all cuts associated to the construction of the SW House. [4359] was completely exposed in 2003 with the removal of wall 4099. Cuts (4381).  Plan no: 11.141 Accuracy rating - 5
3563,C3563,4360,C,0,Trowel,Construction cut containing wall 1160,"Linear in plan, measuring 0.57m in width, with a depth of 0.41-0.44m Break of slope (top & base): sharp Fairly straight sides with a flat base and a U-shaped profile Contains 1160 Cut closely follows the line of the wall","Construction cut containing exterior, load-bearing wall 1160. Same as construction cut [4356] containing wall 1746 because 1746=1160. Wall 1160 was completely removed in 2003 revealing the full extent of [4360], incorporating [4356]. [4360] is wider than construction cuts for the interior partition walls for load-bearing purposes.  Plan no: 11.147, 11.150, 12.105 Section no: 505 Accuracy rating - 5"
3565,C3565,4361,D,0,Trowel,Construction cut containing wall 1157,"Linear in plan, measuring 0.45m in width with a depth of 0.28m Break of slope (top & base): sharp Straight sides with a flat base Contains 1157","Construction cut containing partition wall 1157. 1157 is the same build as wall 1150, but the levels for the respective construction cuts are different - [4361] is cut from 0.2m higher than [3638]. [4361] is also more shallow than [3638], but this is because wall 1150 needed underpinning against a slumps. [4361] was fully exposed in 2003, proving to be of the same build as all other cuts for the walls of the SW House. Plan no: 2.69, 2.70, 11.153 Section no: 509 Accuracy rating - 5"
3566,C3566,4364,C,0,Trowel,"Construction cut containing walls 2124, 2125, 1162 and 1163","Linear in plan with sharp corners, measuring 12m x 0.8m with a depth of 0.32m Break of slope (top & base): sharp Vertical sides with a flat base Contains 2124, 2125, 1162, 1163","Construction cut containing walls 2124, 2125, 1162 and 1163. Runs the full length of SW House. Width of the construction cut suggests that it contained load-bearing walls even though they were interior. Same building phase as all other cuts associated with the construction of the SW House.  Plan no: 2.73, 11.154, 11.155 Accuracy rating - 5"
3567,C3567,4373,C,0,Trowel,Construction cut containing wall 1158,"Linear in plan, measuring 3.9m x 0.55m with a depth of 0.25m. Width narrows to 0.37m at one particular place midway. Break of slope (top & base): sharp Steep, vertical sides with a flat base and an angular U-shaped profile Contains 1158","Construction cut containing interior wall 1158 (and therefore more narrow than the construction cuts for the exterior load-bearing walls). Wall completely fills the cut and there is no evidence for side packing. Wall 1158 was completely removed in 2003, revealing the full extent of [4373]. It is part of a single construction phase for all walls and construction cuts for the SW House. Cuts (3398). Plan no: 11.144, 11.145 Section no: 512 Accuracy rating - 5"
3568,C3568,4375,D,0,Trowel,Spread,"Friable, dark grey brown sandy silt Inclusions: 35-70% stones (S-A) (S-R) (2-6mm) (6-20mm); 40% pea gravel Extent: 0.38m x 0.32m",Ephemeral spread of gritty sandy silt / possible occupation layer located close to the junction of walls 2022 and 4099. Heavy truncation makes interpretation difficult. May be part of a series of depositional layers which appear to slump into an earlier feature (probably a large pit) which can be seen in plan in the base of construction cut [4124]. Strat below (4121). Strat above (4382). Cut by [3708]. Completely removed in 2003. Plan no: 11.136 Accuracy rating - 5
3569,C3569,4382,D,0,Trowel,Clay spread,"Compact, greyish yellow silty clay Inclusions: 1-5% stones (S-A) (2-6cm) Extent: 1.27m x 0.7m",Small clay spread in the lobby part of the slumped sequence. Possibly represents a patching up surface. Strat below (4375) and (4121). Strat above (4386). Cut by [1700] and [3708]. Completely removed in 2003. Plan no: 11.137 Accuracy rating - 5
3570,C3570,4386,D,0,Trowel,Mortar / clay layer,"Compact, grey yellow fine silt and coarse clay Inclusions: 1-5% stones (S-A) (6-20mm) (2-6cm); Charcoal flecks and occasional red clay Extent: 2.13m (N-S) x 1.82m (E-W)",Mortar and clay layer. Potentially a make-up layer for a clay floor surface situated in the subsiding 'lobby' of the SW House. Strat below (4382). Strat above (4128). Cut by [3708] and [1170]. Completely removed in 2003. Plan no: 11.138 Accuracy rating - 5 Spot Date: Claudio-neronian c.40-60AD
3575,C3575,4394,D,0,Trowel,Mortar spread,"Compact, grey-yellow coarse silt Inclusions: 15-35% stones (S-A) (2-6mm) Extent: 0.28m (N-S) x 0.24m (E-W)",Mortar spread located at the junction of walls 2022 and 4094. Strat below (4128). Strat above (4400). Completely removed in 2003. Plan no: 11.148 Accuracy rating - 5
3576,C3576,4398,D,0,Trowel,Patchy clay spread,"Compact, yellow clay Inclusions: 1-5% stones (S-A) (6-20mm) (2-6cm) Extent: 0.9m (N-S) x 0.45m (E-W)",Patchy clay spread. Strat below (4128). Strat above (4400). Completely removed in 2003. Plan no: 11.149 Accuracy rating - 4
3577,C3577,4400,D,0,Trowel,Clay/gravel spread,"Compact, dark grey / yellow clayey silt <BR>Inclusions: 5-15% gravel and pea gravel (S-A) (6-20mm) (2-6cm) <BR>Extent: 1.6m (N-S) x 1.4m (E-W) <BR>Large area of clay within this context {}",Clay/gravel spread visible beneath (4394) and&nbsp;(4398). Strat above thin occupation&nbsp;layer (4421).&nbsp; Not excavated in 2003.&nbsp; Completely removed&nbsp;in 2004.<BR> Plan no: 11.156 <BR>Accuracy rating - 4 {}
3579,C3579,4636,D,0,Trowel,Levelling deposit,"Compact, yellow clay <br />Inclusions: 15-35% stones (S-A) (S-R) (2-6mm) (6-20mm);&nbsp; Occasional traces of charcoal<br />Thickness: 0.01-0.03m<br />Truncated in most parts<br />Clear edge definition&nbsp;","&quot;Lower clay&quot; - part of probable levelling for south aisle, House 1. Samples of (4636) and (5483) were wet sieved to confirm that they <em>were</em> different types of clay. Strat below (4593). Strat above (5483), (5422), (4583). Cut by [1729], [1537], [5417], [1014], [3708] and slot 24. Completely removed in 2004.<br />Plan no: 10.101, 11.157, 15.122, 15.123 <br />Accuracy rating - 3</p>"
3599,C3599,4248,D,0,Trowel,Levelling deposit,"Friable, dark brownish grey silt Inclusions: 35-70% stones (A) (S-A) (2-6mm) (6-20mm) - moderately well-sorted; Occasional chalk Extent: 0.65m x 0.89m;  Thickness: 0.03m Clear edge definition","Silt beneath the last tile phase of 4234, acting as a possible levelling surface given that it overlies uneven burnt clay deposit (4244). Strat below (4750). Completely removed in 2003.  Plan no: 29.151  Section no: 492  Accuracy rating - 5 <I>[ 01/01/2004]</I>"
3617,C3617,4579,D,0,Trowel,Levelling deposit,"Hard, packed yellowish gravelly clay (darker/blacker material internally) Inclusions: 5% gravel (S-R) (2-6mm); 10% gravel (S-R) (6-20mm); 5% gravel (S-R) (2-6cm) Extent: 4m x 2m Diffuse edge definition",Gravel deposit overlying lower clay. Very patchy and mixed. Strat below (3694). Strat above (4572) and (4583). Completely removed in 2003. Plan no: 15.113 Accuracy rating - 2 Spot Date: 40-60AD
3618,C3618,4615,C,0,Trowel,Construction cut containing wall 1533,"Linear in plan with rounded corners, measuring 3.7m x 0.4m with a depth of 0.3m Break of slope (top & base): moderately sharp Moderately concave sides with a fairly flat base and angular U-shaped profile Contains (4613), (4614), (4601), (4602), 1533","Wall construction cut for wall 1533 and all of its courses (numbered above). It contained clay bonding material (4614) at the SW end. On excavation of the wall, there was a slightly raised area in the centre of the cut.  Plan no: 15.117 Accuracy rating - 2"
3619,C3619,4623,D,0,Trowel,Unknown deposit,"Friable, powdery bluish grey (bluer when fresh) very fine sandy gritty clay Inclusions: 1-5% stones (S-A) (S-R) (2-6mm); Very few inclusions - virtually none Extent: 5m x 0.2m;  Thickness: 0.02m Diffuse edge definition","This dark strip emerged suddenly after cleaning. The southern edge is cut by Victorian activity whilst the northern edge is very straight and lines up quite closely with the Victorian trench in area 11B. (4623) probably represents the leaching of small clay particles down the profile through the base of a Victorian trench. Strat above (4636). Plan no: 15.120, 15.121 Accuracy rating - 2"
3620,C3620,4624,D,0,Trowel,Group number for wall construction cuts for the NE House,,"Group number for wall construction cuts [4618], [4615], [4622], [4619], [4603], [3924], [4590] and [4617]. All wall constructions of the same build for the NE House."
3631,C3631,4635,C,0,Trowel,Beam slot cut containing (5759),"Linear in plan with rounded corners, measuring 1.5m x 0.4m with a depth of 0.1m <BR>Break of slope (top &amp; base): rounded <BR>Irregular sides and base <BR>Truncated by [1090] <BR>Contains (5759) {}","Beam slot cut - possibly from the timber structure previous to the stone building at the NE end of House 1. [3272] is probably a continuation of [4635], and there is also possibly another as yet unnumbered continuation existing cutting though the yellow gravel to the north of House 1. Due to it\'s ephemeral nature, [4635] was only recognised as a beam slot because of it\'s location. In 2004, it was assumed that it was the same as the other beam slots with a clay fill dating from the same phase.<BR>Plan no: 16.159<BR>Accuracy rating - 4  {}"
3643,C3643,4811,D,0,Trowel,Accumulation deposit,"Compact, dark green / grey clayey silt <BR>Inclusions: Occasional pottery and whole oyster shells <BR>Extent: 2.78m x 4m  {}","Silty accumulation layer overlying the gravel that extends to the south eastern limits of the NE building. Possibly related to (4800) - a silt deposit located directly to the south. Strat below (4166). Cut by [1868]. Completely removed in 2003. <BR>Plan no: 29.134, 32.108  {}"
3656,C3656,4858,D,0,Trowel,Quenching pot,"Pot, measuring 0.18m x 0.29m x 0.02",Probable quenching pot beneath clay (4222) and another quenching pot (4211) made from the same material. Most likely associated with large hearth 4234 and smaller hearth 4212. Completely removed in 2003. Plan no: 28.144 Accuracy rating - 4
3657,C3657,4870,D,0,Trowel,Post pipe fill of [4820],"Loose, light greeny yellow sandy silt No inclusions Extent: 0.2m in diameter;  Thickness: 0.3m",Post pipe fill within a large palisade-style structure. Strat below (4811). Strat above (4818). Contemporary with [4823]. Partially removed in 2003. Section no: 562 Accuracy rating - 5
